+  , [1]
++  , [1]
0  , [1, 4, 10, 111, 112, 114, 116, 118, 120, 126, 128, 129, 130, 133, 135, 137, 140, 142, 144]
000  , [4, 120, 126, 144]
1  , [1, 4, 5, 6, 9, 10, 11, 13, 14, 17, 18, 25, 81, 83, 84, 86, 87, 89, 91, 95, 97, 100, 109, 111, 112, 114, 115, 116, 117, 118, 120, 126, 128, 130, 132, 133, 135, 137, 138, 140, 142, 144, 147, 149, 151, 153, 160, 162, 164, 166, 168, 171, 204, 206, 209, 211, 215, 217, 241, 242, 244, 246, 248, 250, 256, 257, 258, 261, 263, 265, 266, 269, 270, 271, 273, 275, 278, 280, 282, 283, 285, 287, 289]
10  , [1, 4, 10, 25, 81, 120, 126, 135, 137, 142, 144, 147, 149, 151, 153, 168, 204, 211, 250, 271, 280, 282, 287, 289]
100  , [4, 10, 120, 144]
11  , [1, 4, 81, 87, 120, 126, 128, 137, 142, 144, 153, 160, 162, 204, 250, 271, 273, 282, 287, 289]
12  , [1, 4, 111, 112, 114, 116, 118, 120, 126, 130, 133, 137, 142, 144]
13  , [1, 111, 112, 114, 116, 118, 120, 126, 130, 133, 135, 137, 142, 144]
14  , [1, 126, 128, 137, 142]
14882  , [1]
15  , [1, 126, 137, 142]
16  , [4, 10, 120, 126, 137, 142, 144]
17  , [1, 4, 111, 114, 118, 120, 133, 138, 142, 144]
18  , [1, 4, 120, 126, 142, 144]
19  , [1, 4, 111, 112, 114, 116, 118, 120, 126, 128, 130, 133, 140, 142, 144]
1977  , [4, 120, 144]
1978  , [4, 114, 120, 144]
1979  , [1, 4, 120, 126, 144]
1980s  , [4, 114, 120, 126, 140, 144]
1982  , [1, 4, 120, 144, 250, 289]
1983  , [1, 120, 144, 250, 289]
1984  , [1]
1985  , [1, 4, 120, 144]
1989  , [1, 126]
1990  , [1, 120, 142, 162, 287]
1991  , [1, 4, 120, 126, 144, 250, 271, 289]
1992  , [1]
1998  , [1]
2  , [1, 4, 10, 111, 112, 114, 116, 118, 120, 126, 128, 129, 130, 133, 135, 137, 142, 144]
20  , [1, 4, 6, 10, 14, 19, 25, 81, 84, 86, 87, 89, 109, 111, 112, 114, 115, 116, 117, 118, 120, 126, 128, 129, 130, 132, 133, 135, 137, 142, 144, 162, 168, 204, 211, 241, 242, 244, 246, 248, 250, 258, 266, 271, 273, 274, 275, 278, 280, 282, 287, 289]
2003  , [1]
2011  , [1, 128]
2012  , [1, 111, 112, 114, 116, 118, 130, 133]
2014  , [1, 128]
2018  , [1, 126]
2020  , [1, 126]
2022  , [1, 126, 135]
21  , [1, 111, 114, 118, 120, 126, 133, 144]
22  , [1, 120, 126, 135, 142, 144]
23  , [1, 4, 120, 144]
24  , [1, 120, 126, 128, 144]
25  , [1, 4, 120, 144]
26  , [1, 120, 144]
27  , [1, 120, 144]
28  , [1, 4, 120, 144]
29  , [1, 4, 111, 114, 118, 120, 133, 144]
295  , [4, 120, 144]
3  , [1, 4, 111, 112, 114, 116, 118, 120, 126, 128, 130, 133, 135, 137, 142, 144]
